frame_no,detection_no,class,x,y,width,height,confidence
14,39,person,241,23,58,78,0.2553
15,1,person,1470,359,73,159,0.8506
15,2,person,1128,862,93,209,0.8088
15,3,person,674,577,72,195,0.7687
15,4,person,1483,514,80,178,0.7682
15,5,person,1837,633,81,199,0.7415
15,6,person,1383,711,84,172,0.7281
15,7,person,242,480,80,174,0.7242
15,8,bird,52,817,123,168,0.7123
15,9,person,754,401,57,163,0.7107
15,10,person,1801,165,60,132,0.7105
15,11,person,925,195,52,138,0.6804
15,12,person,709,200,54,139,0.5998
15,13,person,798,63,39,127,0.5914
15,14,person,1678,22,59,132,0.5907
15,15,person,376,0,49,112,0.5780
15,16,person,567,298,62,136,0.5769
15,17,person,91,124,50,122,0.5769
15,18,person,1087,59,48,109,0.5737
15,19,person,851,58,37,130,0.5706
15,20,person,1202,95,51,137,0.5599
15,21,person,1622,16,40,107,0.5494
15,22,person,1384,0,54,179,0.5110
15,23,person,1702,186,63,128,0.4960
15,24,person,1700,93,87,220,0.4753
15,25,person,1592,18,40,106,0.4413
15,26,person,242,22,57,106,0.4405
15,27,person,1301,0,40,99,0.3962
15,28,person,1170,129,49,121,0.3801
15,29,person,1145,458,69,146,0.3700
15,30,person,573,215,55,103,0.3655
15,31,person,340,492,57,146,0.3505
15,32,bird,1145,458,68,146,0.3449
15,33,person,910,77,36,112,0.2926
15,34,person,1891,112,27,101,0.2859
15,35,person,178,0,21,29,0.2842
15,36,person,451,508,61,128,0.2750
16,1,person,1473,362,70,154,0.8388
16,2,person,1128,859,91,212,0.8076
16,3,person,673,571,71,193,0.8030
16,4,bird,53,817,130,167,0.7939
16,5,person,1382,709,82,175,0.7820
16,6,person,1484,514,81,174,0.7402
16,7,person,1831,631,86,199,0.7226
16,8,bird,1145,454,69,150,0.7212
16,9,person,1802,167,58,133,0.6897
16,10,person,925,198,53,136,0.6821
16,11,person,241,481,79,173,0.6443
16,12,person,798,61,39,128,0.6353
16,13,person,1202,94,50,133,0.5937
16,14,person,709,196,52,139,0.5936
16,15,person,1086,60,49,108,0.5921
16,16,person,757,399,57,150,0.5918
16,17,person,848,58,40,129,0.5629
16,18,person,1621,16,41,107,0.5576
16,19,person,1678,22,58,132,0.5518
16,20,person,89,124,51,122,0.5505
16,21,person,377,0,48,111,0.5198
16,22,person,1385,0,55,179,0.5176
16,23,person,567,301,63,135,0.4990
16,24,person,1170,128,49,121,0.4962
16,25,person,1702,186,64,132,0.4730
16,26,person,244,18,53,110,0.4682
16,27,person,1592,18,40,106,0.4503
16,28,person,1301,0,40,101,0.4268
16,29,person,1700,99,85,218,0.4082
16,30,person,572,217,55,102,0.4043
16,31,person,909,64,37,123,0.3651
16,32,person,339,492,59,146,0.3633
16,33,person,1895,109,23,105,0.2873
16,34,person,1606,17,59,109,0.2628
16,35,person,1679,22,57,78,0.2528
17,1,person,1379,710,81,172,0.8547
17,2,person,1473,362,72,155,0.8376
17,3,person,1127,855,89,215,0.8268
17,4,person,675,566,67,188,0.8229
17,5,person,1830,626,88,198,0.8146
17,6,person,240,482,77,171,0.7354
17,7,bird,1146,453,69,142,0.7314
17,8,person,1484,517,81,170,0.6958
17,9,person,1803,168,59,133,0.6643
17,10,person,756,395,57,152,0.6515
17,11,person,1086,63,49,107,0.6376
17,12,person,926,200,53,134,0.6354
17,13,bird,54,818,127,166,0.6334
17,14,person,1203,94,48,133,0.5865
17,15,person,797,61,39,127,0.5758
17,16,person,1678,22,57,133,0.5738
17,17,person,1383,0,55,179,0.5704
17,18,person,245,14,51,113,0.5665
17,19,person,89,124,51,121,0.5568
17,20,person,850,58,38,128,0.5323
17,21,person,1703,183,62,138,0.5149
17,22,person,1615,16,49,111,0.5113
17,23,person,567,302,62,133,0.4992
17,24,person,1171,128,49,124,0.4764
17,25,person,377,0,46,110,0.4757
17,26,person,339,491,58,145,0.4465
17,27,person,708,195,51,137,0.4219
17,28,person,1591,18,41,106,0.4181
17,29,person,572,218,55,100,0.4077
17,30,person,1303,1,37,100,0.4015
17,31,person,1702,113,80,208,0.3459
17,32,person,909,73,38,113,0.3352
17,33,person,177,0,23,27,0.2972
17,34,person,1679,23,56,94,0.2718
17,35,person,1895,110,23,104,0.2574
18,1,person,675,559,67,175,0.8281
18,2,person,1824,616,92,195,0.8153
18,3,person,1475,366,74,163,0.8090
18,4,person,1122,842,90,215,0.8080
18,5,person,239,485,74,168,0.7525
18,6,person,754,389,59,146,0.7380
18,7,person,1366,709,86,173,0.7245
18,8,person,926,204,53,137,0.7166
18,9,person,1488,524,84,163,0.6994
18,10,person,1803,171,59,133,0.6680
18,11,person,797,59,37,128,0.6639
18,12,person,1087,64,48,107,0.6638
18,13,person,251,9,50,114,0.6238
18,14,person,88,125,52,121,0.6212
18,15,person,850,59,38,127,0.6193
18,16,person,1702,189,68,139,0.5722
18,17,person,1204,92,47,133,0.5659
18,18,person,1620,17,43,108,0.5521
18,19,person,1382,0,55,179,0.5435
18,20,bird,58,820,122,166,0.5389
18,21,person,1678,22,57,131,0.5327
18,22,person,566,304,62,132,0.5143
18,23,person,378,0,48,109,0.5010
18,24,person,338,487,61,148,0.4889
18,25,person,1146,448,68,133,0.4389
18,26,person,910,75,37,111,0.4378
18,27,person,1736,95,59,105,0.4339
18,28,person,1592,18,39,107,0.4295
18,29,person,705,192,50,137,0.4148
18,30,person,1302,0,38,100,0.3953
18,31,bird,1147,446,67,136,0.3652
18,32,person,57,820,120,165,0.3649
18,33,person,1171,125,48,122,0.3345
18,34,person,1604,17,62,109,0.2929
18,35,person,986,121,58,140,0.2827
18,36,person,1893,110,25,102,0.2765
18,37,person,572,221,55,104,0.2640
18,38,person,452,504,57,128,0.2627
19,1,person,1117,837,93,210,0.7927
19,2,person,1824,613,91,192,0.7864
19,3,person,675,554,69,174,0.7863
19,4,person,753,386,60,148,0.7827
19,5,person,1477,370,74,167,0.7773
19,6,person,925,205,56,139,0.7317
19,7,person,1358,709,90,173,0.7077
19,8,person,239,488,71,168,0.7012
19,9,person,1488,526,86,160,0.6986
19,10,person,1087,65,49,108,0.6684
19,11,person,253,7,53,113,0.6541
19,12,person,1802,172,59,133,0.6467
19,13,person,87,125,53,120,0.6463
19,14,person,702,191,54,140,0.6417
19,15,person,798,60,36,128,0.6140
19,16,person,848,59,40,127,0.6070
19,17,person,1703,191,66,135,0.5944
19,18,person,566,311,61,125,0.5446
19,19,person,1202,90,48,134,0.5425
19,20,person,380,0,48,109,0.5280
19,21,bird,59,821,125,168,0.5277
19,22,person,1619,17,45,112,0.5087
19,23,person,1145,445,68,134,0.5077
19,24,person,1677,23,56,121,0.5035
19,25,person,1382,0,42,177,0.4980
19,26,person,337,487,62,146,0.4893
